instr,TP,LT,ports
jmp-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jmpq-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jo-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jno-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
js-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jns-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
je-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jz-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jne-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnz-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jb-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnae-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jc-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnb-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jae-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnc-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jbe-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jna-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
ja-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnbe-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jl-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnge-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jge-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnl-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jle-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jng-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jg-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnle-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jp-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jpe-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jnp-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jpo-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jcxz-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jecxz-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jo-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jno-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
js-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
jns-lbl,0.0,0.0,"(0, 0, 0, 0, 0, 0.0)"
lea-r64_mem,0.5,1.0,"(0.5, 0.5, 0.0, 0.0, 0.0, 0.0)"
lea-r32_mem,0.5,1.0,"(0.5, 0.5, 0.0, 0.0, 0.0, 0.0)"
